,common_use,usps_abbr,pattern,combined,abbr_type
92,ACTVT,ACTVTY,actvt,"('actvt', 'actvty')",business
93,ACTVTY,ACTVTY,actvty,"('actvty', 'actvty')",business
94,ACUPUNCTURE,ACPNCTR,acupuncture,"('acupuncture', 'acpnctr')",business
95,AD,ADVTSNG,ad | ad | ad | ad,"('ad | ad | ad | ad', 'advtsng')",business
96,ADDITION,ADDTN,addition,"('addition', 'addtn')",business
97,ADDR,ADDR,addr,"('addr', 'addr')",business
98,ADDRESS,ADDR,address,"('address', 'addr')",business
99,ADDTN,ADDTN,addtn,"('addtn', 'addtn')",business
100,ADHESIVE,ADHSV,adhesive,"('adhesive', 'adhsv')",business
101,ADHSV,ADHSV,adhsv,"('adhsv', 'adhsv')",business
102,ADJ,ADJT,adj | adj | adj,"('adj | adj | adj', 'adjt')",business
103,ADJMT,ADJMT,adjmt,"('adjmt', 'adjmt')",business
104,ADJT,ADJT,adjt | adjt | adjt,"('adjt | adjt | adjt', 'adjt')",business
105,ADJTER,ADJTER,adjter,"('adjter', 'adjter')",business
106,ADJTOR,ADJTOR,adjtor,"('adjtor', 'adjtor')",business
107,ADJUSTER,ADJTER,adjuster,"('adjuster', 'adjter')",business
108,ADJUSTMENT,ADJMT,adjustment,"('adjustment', 'adjmt')",business
109,ADJUSTOR,ADJTOR,adjustor,"('adjustor', 'adjtor')",business
110,ADJUTANT,ADJT,adjutant,"('adjutant', 'adjt')",business
111,ADLT,ADLT,adlt,"('adlt', 'adlt')",business
112,ADM,ADM,adm | adm,"('adm | adm', 'adm')",business
113,ADMIN,ADMNSTR,admin | admin | admin,"('admin | admin | admin', 'admnstr')",business
114,ADMINI,ADMNSTRV,admini,"('admini', 'admnstrv')",business
115,ADMINIST,ADMN,administ,"('administ', 'admn')",business
116,ADMINISTER,ADMNSTR,administer,"('administer', 'admnstr')",business
117,ADMINISTR,ADMNSTR,administr,"('administr', 'admnstr')",business
118,ADMINISTRA,ADMNSTR,administra,"('administra', 'admnstr')",business
119,ADMINISTRATI,ADMN,administrati,"('administrati', 'admn')",business
120,ADMINISTRATION,ADMN,administration,"('administration', 'admn')",business
121,ADMINISTRATIVE,ADMNSTRV,administrative,"('administrative', 'admnstrv')",business
122,ADMINISTRATN,ADMN,administratn,"('administratn', 'admn')",business
123,ADMINISTRATOR,ADMNSTR,administrator,"('administrator', 'admnstr')",business
124,ADMINISTRATV,ADMNSTRV,administratv,"('administratv', 'admnstrv')",business
125,ADMINSTR,ADMNSTR,adminstr,"('adminstr', 'admnstr')",business
126,ADMIRAL,ADM,admiral,"('admiral', 'adm')",business
127,ADMN,ADMN,admn,"('admn', 'admn')",business
128,ADMR,ADMNSTR,admr,"('admr', 'admnstr')",business
129,ADMSTR,ADMNSTR,admstr | admstr,"('admstr | admstr', 'admnstr')",business
130,ADMSTRN,ADMN,admstrn,"('admstrn', 'admn')",business
131,ADOPTION,ADPTN,adoption,"('adoption', 'adptn')",business
132,ADPTN,ADPTN,adptn,"('adptn', 'adptn')",business
133,ADROIT,ADRT,adroit,"('adroit', 'adrt')",business
134,ADRT,ADRT,adrt,"('adrt', 'adrt')",business
135,ADTNG,ADTNG,adtng,"('adtng', 'adtng')",business
136,ADTR,AUDTR,adtr,"('adtr', 'audtr')",business
137,ADTRM,ADTRM,adtrm,"('adtrm', 'adtrm')",business
138,ADULT,ADLT,adult,"('adult', 'adlt')",business
139,ADV,ADVRY,adv | adv | adv | adv | adv,"('adv | adv | adv | adv | adv', 'advry')",business
140,ADVANCE,ADVNC,advance,"('advance', 'advnc')",business
141,ADVANCED,ADVNCD,advanced,"('advanced', 'advncd')",business
142,ADVANCEMENT,ADVMNT,advancement,"('advancement', 'advmnt')",business
143,ADVENTURE,ADVNTR,adventure,"('adventure', 'advntr')",business
144,ADVERT,ADVTSNG,advert,"('advert', 'advtsng')",business
145,ADVERTISE,ADVT,advertise,"('advertise', 'advt')",business
146,ADVERTISEMENT,AD,advertisement,"('advertisement', 'ad')",business
147,ADVERTISIN,ADVTSNG,advertisin,"('advertisin', 'advtsng')",business
148,ADVERTISING,ADVTSNG,advertising,"('advertising', 'advtsng')",business
149,ADVERTISNG,ADVTSNG,advertisng,"('advertisng', 'advtsng')",business
150,ADVG,ADVTSNG,advg,"('advg', 'advtsng')",business
151,ADVISER,ADVSR,adviser,"('adviser', 'advsr')",business
152,ADVISOR,ADVSR,advisor,"('advisor', 'advsr')",business
153,ADVISORY,ADVRY,advisory,"('advisory', 'advry')",business
154,ADVMNT,ADVMNT,advmnt,"('advmnt', 'advmnt')",business
155,ADVNC,ADVNC,advnc,"('advnc', 'advnc')",business
156,ADVNCD,ADVNCD,advncd,"('advncd', 'advncd')",business
157,ADVNTR,ADVNTR,advntr,"('advntr', 'advntr')",business
158,ADVR,ADVTSNG,advr,"('advr', 'advtsng')",business
159,ADVSER,ADVSR,advser,"('advser', 'advsr')",business
160,ADVSOR,ADVSR,advsor,"('advsor', 'advsr')",business
161,ADVSR,ADVSR,advsr,"('advsr', 'advsr')",business
162,ADVT,ADVT,advt,"('advt', 'advt')",business
163,ADVTG,ADVTSNG,advtg,"('advtg', 'advtsng')",business
164,ADVTNG,ADVTSNG,advtng,"('advtng', 'advtsng')",business
165,ADVTSNG,ADVTSNG,advtsng,"('advtsng', 'advtsng')",business
166,AERIAL,ARL,aerial,"('aerial', 'arl')",business
167,AERONAUTICAL,ARNTCL,aeronautical,"('aeronautical', 'arntcl')",business
168,AEROSPACE,ARSPC,aerospace,"('aerospace', 'arspc')",business
169,AEROSTAT,ARSTT,aerostat,"('aerostat', 'arstt')",business
170,AESTHETIC,ASTHTC,aesthetic,"('aesthetic', 'asthtc')",business
171,AFFAIR,AFFR,affair,"('affair', 'affr')",business
172,AFFILIATE,AFFLT,affiliate,"('affiliate', 'afflt')",business
173,AFFILIATED,AFFLTD,affiliated,"('affiliated', 'affltd')",business
174,AFFLT,AFFLT,afflt,"('afflt', 'afflt')",business
175,AFFLTD,AFFLTD,affltd,"('affltd', 'affltd')",business
176,AFFR,AFFR,affr,"('affr', 'affr')",business
177,AFRCN,AFRCN,afrcn,"('afrcn', 'afrcn')",business
178,AFRICAN,AFRCN,african,"('african', 'afrcn')",business
179,AG,AGRCLT,ag | ag,"('ag | ag', 'agrclt')",business
180,AGCY,AGCY,agcy,"('agcy', 'agcy')",business
181,AGE,AGCY,age,"('age', 'agcy')",business
182,AGEN,AGNT,agen,"('agen', 'agnt')",business
183,AGENC,AGCY,agenc,"('agenc', 'agcy')",business
184,AGENCY,AGCY,agency,"('agency', 'agcy')",business
185,AGENT,AGNT,agent,"('agent', 'agnt')",business
186,AGGREGATE,AGGRGT,aggregate,"('aggregate', 'aggrgt')",business
187,AGGRGT,AGGRGT,aggrgt,"('aggrgt', 'aggrgt')",business
188,AGING,AGNG,aging,"('aging', 'agng')",business
189,AGNCY,AGCY,agncy,"('agncy', 'agcy')",business
190,AGNG,AGNG,agng,"('agng', 'agng')",business
191,AGNT,AGNT,agnt,"('agnt', 'agnt')",business
192,AGRCLT,AGRCLT,agrclt,"('agrclt', 'agrclt')",business
193,AGRCLTRL,AGRCLTL,agrcltrl,"('agrcltrl', 'agrcltl')",business
194,AGRICULTURAL,AGRCLTL,agricultural,"('agricultural', 'agrcltl')",business
195,AGRICULTURE,AGRCLT,agriculture,"('agriculture', 'agrclt')",business
196,AGT,AGNT,agt,"('agt', 'agnt')",business
197,AID,AID,aid,"('aid', 'aid')",business
198,AIDED,AID,aided,"('aided', 'aid')",business
199,AIRCONDITIONING,AID,airconditioning,"('airconditioning', 'aid')",business
200,AIRCRAFT,ARCRFT,aircraft,"('aircraft', 'arcrft')",business
201,AIRCRFT,ARCRFT,aircrft,"('aircrft', 'arcrft')",business
202,AIRLINE,ARLN,airline,"('airline', 'arln')",business
203,AIRMAN,ARMN,airman,"('airman', 'armn')",business
204,AIRP,ARPRT,airp,"('airp', 'arprt')",business
205,AIRPORT,ARPRT,airport,"('airport', 'arprt')",business
206,AIRPT,ARPRT,airpt,"('airpt', 'arprt')",business
207,AIRWAY,ARWY,airway,"('airway', 'arwy')",business
208,AL,ALUMN,al,"('al', 'alumn')",business
209,ALARM,ALRM,alarm,"('alarm', 'alrm')",business
210,ALCHLC,ALCHLC,alchlc,"('alchlc', 'alchlc')",business
211,ALCHLSM,ALCHLSM,alchlsm,"('alchlsm', 'alchlsm')",business
212,ALCOHOLIC,ALCHLC,alcoholic,"('alcoholic', 'alchlc')",business
213,ALCOHOLISM,ALCHLSM,alcoholism,"('alcoholism', 'alchlsm')",business
214,ALDERMAN,ALDM,alderman,"('alderman', 'aldm')",business
215,ALDM,ALDM,aldm,"('aldm', 'aldm')",business
216,ALGNMNT,ALIGN,algnmnt,"('algnmnt', 'align')",business
217,ALGNMT,ALIGN,algnmt,"('algnmt', 'align')",business
218,ALGNNG,ALGNNG,algnng,"('algnng', 'algnng')",business
219,ALGNR,ALGNR,algnr,"('algnr', 'algnr')",business
220,ALIG,ALIGN,alig,"('alig', 'align')",business
221,ALIGN,ALIGN,align,"('align', 'align')",business
222,ALIGNER,ALGNR,aligner,"('aligner', 'algnr')",business
223,ALIGNING,ALGNNG,aligning,"('aligning', 'algnng')",business
224,ALIGNMENT,ALIGN,alignment,"('alignment', 'align')",business
225,ALIGNMNT,ALIGN,alignmnt,"('alignmnt', 'align')",business
226,ALIGNMT,ALIGN,alignmt,"('alignmt', 'align')",business
227,ALIMENT,ALIGN,aliment,"('aliment', 'align')",business
228,ALLCT,ALLCT,allct,"('allct', 'allct')",business
229,ALLCTN,ALLCTN,allctn,"('allctn', 'allctn')",business
230,ALLD,ALLD,alld,"('alld', 'alld')",business
231,ALLERGIST,ALLRGST,allergist,"('allergist', 'allrgst')",business
232,ALLERGY,ALLRGY,allergy,"('allergy', 'allrgy')",business
233,ALLIANCE,ALLNCE,alliance,"('alliance', 'allnce')",business
234,ALLIE,ALLD,allie | allie,"('allie | allie', 'alld')",business
235,ALLIED,ALLD,allied,"('allied', 'alld')",business
236,ALLNCE,ALLNCE,allnce,"('allnce', 'allnce')",business
237,ALLOCATE,ALLCT,allocate,"('allocate', 'allct')",business
238,ALLOCATION,ALLCTN,allocation,"('allocation', 'allctn')",business
239,ALLOY,ALLY,alloy,"('alloy', 'ally')",business
240,ALLRGST,ALLRGST,allrgst,"('allrgst', 'allrgst')",business
241,ALLRGY,ALLRGY,allrgy,"('allrgy', 'allrgy')",business
242,ALLY,ALLY,ally,"('ally', 'ally')",business
243,ALPH,ALPH,alph,"('alph', 'alph')",business
244,ALPHA,ALPH,alpha,"('alpha', 'alph')",business
245,ALRM,ALRM,alrm,"('alrm', 'alrm')",business
246,ALTER,ALTRN,alter | alter,"('alter | alter', 'altrn')",business
247,ALTERATION,ALTRN,alteration,"('alteration', 'altrn')",business
248,ALTERNATIVE,ALTRNTV,alternative,"('alternative', 'altrntv')",business
249,ALTERNATOR,ALTRNTR,alternator,"('alternator', 'altrntr')",business
250,ALTITUDE,ALTTD,altitude,"('altitude', 'alttd')",business
251,ALTR,ALTR,altr,"('altr', 'altr')",business
252,ALTRNTR,ALTRNTR,altrntr,"('altrntr', 'altrntr')",business
253,ALTRNTV,ALTRNTV,altrntv,"('altrntv', 'altrntv')",business
254,ALTTD,ALTTD,alttd,"('alttd', 'alttd')",business
255,ALUM,ALUMN,alum,"('alum', 'alumn')",business
256,ALUMINUM,ALUMN,aluminum,"('aluminum', 'alumn')",business
257,AMATEUR,AMTR,amateur,"('amateur', 'amtr')",business
258,AMB,AMBL,amb | amb,"('amb | amb', 'ambl')",business
259,AMBASSADOR,AMB,ambassador,"('ambassador', 'amb')",business
260,AMBIANCE,AMBNC,ambiance,"('ambiance', 'ambnc')",business
261,AMBL,AMBL,ambl,"('ambl', 'ambl')",business
262,AMBNC,AMBNC,ambnc,"('ambnc', 'ambnc')",business
263,AMBULANCE,AMBL,ambulance,"('ambulance', 'ambl')",business
264,AMELIORATION,AMLRTN,amelioration,"('amelioration', 'amlrtn')",business
265,AMER,AMERCN,amer | amer,"('amer | amer', 'amercn')",business
