,common_use,usps_abbr,pattern,combined,abbr_type
913,CANYON,CYN,canyon,"('canyon', 'cyn')",business
914,CAPITAL,CPTAL,capital,"('capital', 'cptal')",business
915,CAPITOL,CPTOL,capitol,"('capitol', 'cptol')",business
916,CAPT,CAPT,capt,"('capt', 'capt')",business
917,CAPTAIN,CAPT,captain,"('captain', 'capt')",business
918,CAR,CAR,car,"('car', 'car')",business
919,CARB,CARB,carb,"('carb', 'carb')",business
920,CARBONATED,CARB,carbonated,"('carbonated', 'carb')",business
921,CARBTR,CARBTR,carbtr,"('carbtr', 'carbtr')",business
922,CARBURETOR,CARBTR,carburetor,"('carburetor', 'carbtr')",business
923,CARD,CARD,card,"('card', 'card')",business
924,CARDIAC,CRDC,cardiac,"('cardiac', 'crdc')",business
925,CARDINAL,CARD,cardinal,"('cardinal', 'card')",business
926,CARDIOGRAPHIC,CRDGRPHC,cardiographic,"('cardiographic', 'crdgrphc')",business
927,CARDIOLOGY,CRDLGY,cardiology,"('cardiology', 'crdlgy')",business
928,CARDIOVASCULAR,CRDVSCLR,cardiovascular,"('cardiovascular', 'crdvsclr')",business
929,CAREER,CAR,career,"('career', 'car')",business
930,CARGO,CRG,cargo,"('cargo', 'crg')",business
931,CARIBBEAN,CRBBN,caribbean,"('caribbean', 'crbbn')",business
932,CARLOADING,CRLDNG,carloading,"('carloading', 'crldng')",business
933,CARPENTER,CARPTR,carpenter,"('carpenter', 'carptr')",business
934,CARPENTRY,CRPNTRY,carpentry,"('carpentry', 'crpntry')",business
935,CARPET,CPT,carpet,"('carpet', 'cpt')",business
936,CARPTR,CARPTR,carptr,"('carptr', 'carptr')",business
937,CARR,CARR,carr,"('carr', 'carr')",business
938,CARRIAGE,CARR,carriage,"('carriage', 'carr')",business
939,CAS,CSLTY,cas | cas,"('cas | cas', 'cslty')",business
940,CASC,CASC,casc,"('casc', 'casc')",business
941,CASCADE,CASC,cascade,"('cascade', 'casc')",business
942,CASH,CAS,cash,"('cash', 'cas')",business
943,CASHIER,CAS,cashier,"('cashier', 'cas')",business
944,CASKET,CSKT,casket,"('casket', 'cskt')",business
945,CASSETTE,CASSTT,cassette,"('cassette', 'casstt')",business
946,CASSTT,CASSTT,casstt,"('casstt', 'casstt')",business
947,CAST,CAST,cast,"('cast', 'cast')",business
948,CASTING,CAST,casting,"('casting', 'cast')",business
949,CASTLE,CASTL,castle,"('castle', 'castl')",business
950,CASUAL,CSL,casual,"('casual', 'csl')",business
951,CASUALTY,CSLTY,casualty,"('casualty', 'cslty')",business
952,CATALOG,CATLG,catalog,"('catalog', 'catlg')",business
953,CATALOGUE,CTLG,catalogue,"('catalogue', 'ctlg')",business
954,CATERER,CATR,caterer,"('caterer', 'catr')",business
955,CATERING,CTRG,catering,"('catering', 'ctrg')",business
956,CATFISH,CTFSH,catfish,"('catfish', 'ctfsh')",business
957,CATH,CATH,cath | cath,"('cath | cath', 'cath')",business
958,CATHDRL,CATHDRL,cathdrl,"('cathdrl', 'cathdrl')",business
959,CATHEDRAL,CATHDRL,cathedral,"('cathedral', 'cathdrl')",business
960,CATHOLIC,CATH,catholic,"('catholic', 'cath')",business
961,CATLG,CATLG,catlg,"('catlg', 'catlg')",business
962,CATR,CATR,catr,"('catr', 'catr')",business
963,CATRG,CTRG,catrg,"('catrg', 'ctrg')",business
964,CATTLE,CTTL,cattle,"('cattle', 'cttl')",business
965,CAUSEWAY,CSWY,causeway,"('causeway', 'cswy')",business
966,CBL,CABL,cbl,"('cbl', 'cabl')",business
967,CBN,CBN,cbn,"('cbn', 'cbn')",business
968,CBNT,CBNT,cbnt,"('cbnt', 'cbnt')",business
969,CBRT,CBRT,cbrt,"('cbrt', 'cbrt')",business
970,CCH,CH,cch,"('cch', 'ch')",business
971,CCKPT,CCKPT,cckpt,"('cckpt', 'cckpt')",business
972,CCO,CCO,cco,"('cco', 'cco')",business
973,CCOMMNCTE,COMMUN,ccommncte,"('ccommncte', 'commun')",business
974,CDR,CMDR,cdr | cdr | cdr,"('cdr | cdr | cdr', 'cmdr')",business
975,CDT,CDT,cdt,"('cdt', 'cdt')",business
976,CEDAR,CEDR,cedar,"('cedar', 'cedr')",business
977,CEDR,CEDR,cedr,"('cedr', 'cedr')",business
978,CELEBRITY,CLBRTY,celebrity,"('celebrity', 'clbrty')",business
979,CELL,CELL,cell,"('cell', 'cell')",business
980,CELLULAR,CELL,cellular,"('cellular', 'cell')",business
981,CEM,CEM,cem,"('cem', 'cem')",business
982,CEMENT,CEM,cement,"('cement', 'cem')",business
983,CEMETERY,CMTRY,cemetery,"('cemetery', 'cmtry')",business
984,CEN,CEN,cen | cen,"('cen | cen', 'cen')",business
985,CENT,CTR,cent | cent,"('cent | cent', 'ctr')",business
986,CENTENNAL,CENT,centennal,"('centennal', 'cent')",business
987,CENTENNIAL,CENT,centennial,"('centennial', 'cent')",business
988,CENTER,CTR,center,"('center', 'ctr')",business
989,CENTL,CTRL,centl,"('centl', 'ctrl')",business
990,CENTR,CTRL,centr | centr,"('centr | centr', 'ctrl')",business
991,CENTRAL,CTRL,central,"('central', 'ctrl')",business
992,CENTRE,CTR,centre,"('centre', 'ctr')",business
993,CENTURY,CEN,century,"('century', 'cen')",business
994,CERAMIC,CRMC,ceramic,"('ceramic', 'crmc')",business
995,CEREMONY,CRMNY,ceremony,"('ceremony', 'crmny')",business
996,CERTD,CERT,certd,"('certd', 'cert')",business
997,CERTIF,CERT,certif,"('certif', 'cert')",business
998,CERTIFICATION,CTRFCTN,certification,"('certification', 'ctrfctn')",business
999,CERTIFIE,CERT,certifie,"('certifie', 'cert')",business
1000,CERTIFIED,CERT,certified,"('certified', 'cert')",business
1001,CFFR,CFFR,cffr,"('cffr', 'cffr')",business
1002,CFFS,CFFS,cffs,"('cffs', 'cffs')",business
1003,CFT,CFT,cft | cft,"('cft | cft', 'cft')",business
1004,CFTMN,CFTMN,cftmn,"('cftmn', 'cftmn')",business
1005,CFTR,CFTR,cftr | cftr,"('cftr | cftr', 'cftr')",business
1006,CG,CG,cg,"('cg', 'cg')",business
1007,CGE,CARR,cge,"('cge', 'carr')",business
1008,CH,CHANCLR,ch | ch | ch | ch,"('ch | ch | ch | ch', 'chanclr')",business
1009,CHAIN,CHN,chain,"('chain', 'chn')",business
1010,CHAIR,CHRMN,chair | chair,"('chair | chair', 'chrmn')",business
1011,CHAIRED,CHRD,chaired,"('chaired', 'chrd')",business
1012,CHAIRMAN,CHRMN,chairman,"('chairman', 'chrmn')",business
1013,CHAIRPERSON,CHRPRSN,chairperson,"('chairperson', 'chrprsn')",business
1014,CHAIRWOMAN,CHRWMN,chairwoman,"('chairwoman', 'chrwmn')",business
1015,CHAMB,CHMBR,chamb,"('chamb', 'chmbr')",business
1016,CHAMBER,CHMBR,chamber,"('chamber', 'chmbr')",business
1017,CHAMP,CHAMP,champ,"('champ', 'champ')",business
1018,CHAMPION,CHAMP,champion,"('champion', 'champ')",business
1019,CHAN,CHANCLR,chan | chan,"('chan | chan', 'chanclr')",business
1020,CHANCELLOR,CHANCLLR,chancellor,"('chancellor', 'chancllr')",business
1021,CHANCELOR,CHANCLR,chancelor,"('chancelor', 'chanclr')",business
1022,CHANCLLR,CHANCLLR,chancllr,"('chancllr', 'chancllr')",business
1023,CHANCLR,CHANCLR,chanclr,"('chanclr', 'chanclr')",business
1024,CHANDLER,CHANL,chandler,"('chandler', 'chanl')",business
1025,CHANGE,CHNG,change,"('change', 'chng')",business
1026,CHANL,CHANL,chanl,"('chanl', 'chanl')",business
1027,CHANNEL,CHNNL,channel,"('channel', 'chnnl')",business
1028,CHAP,CHAP,chap,"('chap', 'chap')",business
1029,CHAPEL,CPL,chapel,"('chapel', 'cpl')",business
1030,CHAPLAIN,CHAP,chaplain,"('chaplain', 'chap')",business
1031,CHAPTER,CHPTR,chapter,"('chapter', 'chptr')",business
1032,CHAR,CHRTR,char | char,"('char | char', 'chrtr')",business
1033,CHARACTER,CHAR,character,"('character', 'char')",business
1034,CHARCOAL,CHRCL,charcoal,"('charcoal', 'chrcl')",business
1035,CHARGE,CHRG,charge,"('charge', 'chrg')",business
1036,CHARITABLE,CHRTBL,charitable,"('charitable', 'chrtbl')",business
1037,CHARMN,CHRMN,charmn,"('charmn', 'chrmn')",business
1038,CHARTER,CHRTR,charter,"('charter', 'chrtr')",business
1039,CHARTERED,CHRTRD,chartered,"('chartered', 'chrtrd')",business
1040,CHAUFFEUR,CHFFR,chauffeur,"('chauffeur', 'chffr')",business
1041,CHAUSSURE,CHSSR,chaussure,"('chaussure', 'chssr')",business
1042,CHC,CHICK,chc,"('chc', 'chick')",business
1043,CHCE,CHCE,chce,"('chce', 'chce')",business
1044,CHCKN,CHICK,chckn,"('chckn', 'chick')",business
1045,CHECK,CHK,check,"('check', 'chk')",business
1046,CHEESE,CHES,cheese,"('cheese', 'ches')",business
1047,CHEM,CHEM,chem | chem,"('chem | chem', 'chem')",business
1048,CHEMICAL,CHEML,chemical,"('chemical', 'cheml')",business
1049,CHEMIST,CHEM,chemist,"('chemist', 'chem')",business
1050,CHEML,CHEML,cheml,"('cheml', 'cheml')",business
1051,CHERRY,CHRY,cherry,"('cherry', 'chry')",business
1052,CHES,CHES,ches,"('ches', 'ches')",business
1053,CHESS,CHSS,chess,"('chess', 'chss')",business
1054,CHESTNUT,CHSTNT,chestnut,"('chestnut', 'chstnt')",business
1055,CHEVROLET,CHEVY,chevrolet,"('chevrolet', 'chevy')",business
1056,CHEVY,CHEVY,chevy,"('chevy', 'chevy')",business
1057,CHF,CHF,chf,"('chf', 'chf')",business
1058,CHFFR,CHFFR,chffr,"('chffr', 'chffr')",business
1059,CHICK,CHICK,chick,"('chick', 'chick')",business
1060,CHICKEN,CHICK,chicken,"('chicken', 'chick')",business
1061,CHIEF,CHF,chief,"('chief', 'chf')",business
1062,CHILD,CHLDS,child,"('child', 'chlds')",business
1063,CHILDREN,CHLD,children,"('children', 'chld')",business
1064,CHILDRENS,CHLDS,childrens,"('childrens', 'chlds')",business
1065,CHIM,CHMNY,chim,"('chim', 'chmny')",business
1066,CHIMNEY,CHMNY,chimney,"('chimney', 'chmny')",business
1067,CHIN,CHIN,chin,"('chin', 'chin')",business
1068,CHINESE,CHIN,chinese,"('chinese', 'chin')",business
1069,CHIRO,CHIRO,chiro | chiro,"('chiro | chiro', 'chiro')",business
1070,CHIROPRAC,CHIROPRCTC,chiroprac,"('chiroprac', 'chiroprctc')",business
1071,CHIROPRACTIC,CHIROPRCTC,chiropractic,"('chiropractic', 'chiroprctc')",business
1072,CHIROPRACTOR,CHIRO,chiropractor,"('chiropractor', 'chiro')",business
1073,CHIROPRCTC,CHIROPRCTC,chiroprctc,"('chiroprctc', 'chiroprctc')",business
1074,CHK,CHK,chk,"('chk', 'chk')",business
1075,CHKN,CHICK,chkn,"('chkn', 'chick')",business
1076,CHLD,CHLD,chld,"('chld', 'chld')",business
1077,CHLDRN,CHLD,chldrn,"('chldrn', 'chld')",business
1078,CHM,CHRMN,chm,"('chm', 'chrmn')",business
1079,CHMBR,CHMBR,chmbr,"('chmbr', 'chmbr')",business
1080,CHMN,CHRMN,chmn,"('chmn', 'chrmn')",business
1081,CHMNY,CHMNY,chmny,"('chmny', 'chmny')",business
1082,CHMST,CHEM,chmst,"('chmst', 'chem')",business
1083,CHN,CHN,chn,"('chn', 'chn')",business
1084,CHNG,CHNG,chng,"('chng', 'chng')",business
1085,CHNNL,CHNNL,chnnl,"('chnnl', 'chnnl')",business
1086,CHOC,CHOC,choc,"('choc', 'choc')",business
1087,CHOCOLATE,CHOC,chocolate,"('chocolate', 'choc')",business
1088,CHOICE,CHCE,choice,"('choice', 'chce')",business
1089,CHOSE,CHS,chose,"('chose', 'chs')",business
1090,CHPTR,CHPTR,chptr,"('chptr', 'chptr')",business
1091,CHR,CHURCH,chr | chr | chr | chr,"('chr | chr | chr | chr', 'church')",business
1092,CHRCL,CHRCL,chrcl,"('chrcl', 'chrcl')",business
1093,CHRD,CHRD,chrd,"('chrd', 'chrd')",business
1094,CHRIST,CHRSTN,christ | christ,"('christ | christ', 'chrstn')",business
1095,CHRISTIAN,CHRSTN,christian,"('christian', 'chrstn')",business
1096,CHRISTN,CHRSTN,christn,"('christn', 'chrstn')",business
1097,CHRM,CHRMN,chrm,"('chrm', 'chrmn')",business
1098,CHRMN,CHRMN,chrmn,"('chrmn', 'chrmn')",business
1099,CHRNCL,CHRNCL,chrncl,"('chrncl', 'chrncl')",business
1100,CHRONICLE,CHRNCL,chronicle,"('chronicle', 'chrncl')",business
1101,CHRPRSN,CHRPRSN,chrprsn,"('chrprsn', 'chrprsn')",business
1102,CHRST,CHRST,chrst,"('chrst', 'chrst')",business
1103,CHRSTN,CHRSTN,chrstn,"('chrstn', 'chrstn')",business
1104,CHRTBL,CHRTBL,chrtbl,"('chrtbl', 'chrtbl')",business
1105,CHRTR,CHRTR,chrtr,"('chrtr', 'chrtr')",business
1106,CHRTRD,CHRTRD,chrtrd,"('chrtrd', 'chrtrd')",business
1107,CHRWMN,CHRWMN,chrwmn,"('chrwmn', 'chrwmn')",business
1108,CHRY,CHRYSLR,chry | chry,"('chry | chry', 'chryslr')",business
1109,CHRYSLER,CHRYSLR,chrysler,"('chrysler', 'chryslr')",business
1110,CHRYSLR,CHRYSLR,chryslr,"('chryslr', 'chryslr')",business
1111,CHS,CHS,chs | chs,"('chs | chs', 'chs')",business
1112,CHSS,CHSS,chss,"('chss', 'chss')",business
1113,CHSSR,CHSSR,chssr,"('chssr', 'chssr')",business
1114,CHSTNT,CHSTNT,chstnt,"('chstnt', 'chstnt')",business
1115,CHUR,CHURCH,chur,"('chur', 'church')",business
1116,CHURC,CHURCH,churc,"('churc', 'church')",business
1117,CHURCH,CHURCH,church,"('church', 'church')",business
1118,CIG,CIG,cig,"('cig', 'cig')",business
1119,CIGAR,CG,cigar,"('cigar', 'cg')",business
1120,CIGARETTE,CIG,cigarette,"('cigarette', 'cig')",business
1121,CINE,CINE,cine,"('cine', 'cine')",business
1122,CINEMA,CINE,cinema,"('cinema', 'cine')",business
1123,CIR,CIR,cir,"('cir', 'cir')",business
1124,CIRCLE,CIR,circle,"('circle', 'cir')",business
1125,CIRCUIT,CRCT,circuit,"('circuit', 'crct')",business
1126,CIRCULAR,CRCLR,circular,"('circular', 'crclr')",business
1127,CIRCUS,CRCS,circus,"('circus', 'crcs')",business
1128,CIRQUE,CRQ,cirque,"('cirque', 'crq')",business
1129,CITIZEN,CITZN,citizen,"('citizen', 'citzn')",business
1130,CITRUS,CTRS,citrus,"('citrus', 'ctrs')",business
1131,CITZN,CITZN,citzn,"('citzn', 'citzn')",business
1132,CIVIC,CVC,civic,"('civic', 'cvc')",business
1133,CIVIL,CVL,civil,"('civil', 'cvl')",business
1134,CK,CK,ck | ck,"('ck | ck', 'ck')",business
1135,CKD,CKD,ckd,"('ckd', 'ckd')",business
1136,CKRY,CKRY,ckry,"('ckry', 'ckry')",business
1137,CL,CNCL,cl | cl | cl | cl | cl,"('cl | cl | cl | cl | cl', 'cncl')",business
1138,CLAIM,CLM,claim,"('claim', 'clm')",business
1139,CLAS,CLAS,clas,"('clas', 'clas')",business
1140,CLASS,CLASS,class | class,"('class | class', 'class')",business
1141,CLASSIC,CLSC,classic,"('classic', 'clsc')",business
1142,CLASSIFICATION,CLASS,classification,"('classification', 'class')",business
1143,CLBHS,CLBHS,clbhs,"('clbhs', 'clbhs')",business
1144,CLBRTY,CLBRTY,clbrty,"('clbrty', 'clbrty')",business
1145,CLCK,CLCK,clck,"('clck', 'clck')",business
1146,CLCTN,COLLECT,clctn,"('clctn', 'collect')",business
1147,CLEAN,CLN,clean,"('clean', 'cln')",business
1148,CLEANER,CLNR,cleaner,"('cleaner', 'clnr')",business
1149,CLEANG,CLNG,cleang,"('cleang', 'clng')",business
1150,CLEANING,CLNG,cleaning,"('cleaning', 'clng')",business
1151,CLEANSER,CLNSR,cleanser,"('cleanser', 'clnsr')",business
1152,CLEARING,CLRNG,clearing,"('clearing', 'clrng')",business
1153,CLER,CLER,cler,"('cler', 'cler')",business
1154,CLERGY,CLER,clergy,"('clergy', 'cler')",business
1155,CLERK,CLRK,clerk,"('clerk', 'clrk')",business
1156,CLF,CLFS,clf,"('clf', 'clfs')",business
1157,CLG,COLG,clg | clg,"('clg | clg', 'colg')",business
1158,CLGE,COLG,clge,"('clge', 'colg')",business
1159,CLIFF,CLFS,cliff,"('cliff', 'clfs')",business
1160,CLIMAT,CLIMAT,climat,"('climat', 'climat')",business
1161,CLIMATE,CLIMAT,climate,"('climate', 'climat')",business
1162,CLIN,CLNC,clin,"('clin', 'clnc')",business
1163,CLINI,CLNC,clini,"('clini', 'clnc')",business
1164,CLINIC,CLINIC,clinic | clinic,"('clinic | clinic', 'clinic')",business
1165,CLINICA,CLINIC,clinica,"('clinica', 'clinic')",business
1166,CLINICAL,CLINIC,clinical,"('clinical', 'clinic')",business
1167,CLIPPER,CLPPR,clipper,"('clipper', 'clppr')",business
1168,CLK,CLCK,clk | clk,"('clk | clk', 'clck')",business
1169,CLLBRTV,CLLBRTV,cllbrtv,"('cllbrtv', 'cllbrtv')",business
1170,CLLCTABL,CLLCTABL,cllctabl,"('cllctabl', 'cllctabl')",business
1171,CLLCTBL,CLLCTIBL,cllctbl | cllctbl,"('cllctbl | cllctbl', 'cllctibl')",business
1172,CLLCTIBL,CLLCTIBL,cllctibl,"('cllctibl', 'cllctibl')",business
1173,CLLCTV,CLLCTV,cllctv,"('cllctv', 'cllctv')",business
1174,CLLGRPHR,CLLGRPHR,cllgrphr,"('cllgrphr', 'cllgrphr')",business
1175,CLLSN,CLLSN,cllsn,"('cllsn', 'cllsn')",business
1176,CLLTRL,CLLTRL,clltrl,"('clltrl', 'clltrl')",business
1177,CLM,CLM,clm,"('clm', 'clm')",business
1178,CLN,CLN,cln,"('cln', 'cln')",business
1179,CLNC,CLNC,clnc,"('clnc', 'clnc')",business
1180,CLNG,CLNG,clng,"('clng', 'clng')",business
1181,CLNL,CLNL,clnl,"('clnl', 'clnl')",business
1182,CLNR,CLNR,clnr,"('clnr', 'clnr')",business
1183,CLNSR,CLNSR,clnsr,"('clnsr', 'clnsr')",business
1184,CLNY,CLNY,clny,"('clny', 'clny')",business
1185,CLOCK,CLCK,clock,"('clock', 'clck')",business
1186,CLOS,CLTHS,clos | clos,"('clos | clos', 'clths')",business
1187,CLOSET,CLOS,closet,"('closet', 'clos')",business
1188,CLOTHES,CLTHS,clothes,"('clothes', 'clths')",business
1189,CLOTHIER,CLTHR,clothier,"('clothier', 'clthr')",business
1190,CLOTHING,CLTHNG,clothing,"('clothing', 'clthng')",business
1191,CLPPR,CLPPR,clppr,"('clppr', 'clppr')",business
1192,CLPR,CLPR,clpr,"('clpr', 'clpr')",business
1193,CLR,CLR,clr | clr,"('clr | clr', 'clr')",business
1194,CLRK,CLRK,clrk,"('clrk', 'clrk')",business
1195,CLRNG,CLRNG,clrng,"('clrng', 'clrng')",business
1196,CLSC,CLSC,clsc,"('clsc', 'clsc')",business
1197,CLSFCTN,CLASS,clsfctn,"('clsfctn', 'class')",business
1198,CLSSL,CLSSL,clssl,"('clssl', 'clssl')",business
1199,CLTCH,CLTCH,cltch,"('cltch', 'cltch')",business
1200,CLTHNG,CLTHNG,clthng,"('clthng', 'clthng')",business
1201,CLTHR,CLTHR,clthr,"('clthr', 'clthr')",business
1202,CLTHS,CLTHS,clths,"('clths', 'clths')",business
1203,CLTRL,CLTRL,cltrl,"('cltrl', 'cltrl')",business
1204,CLUBHOUSE,CLBHS,clubhouse,"('clubhouse', 'clbhs')",business
1205,CLUTCH,CLTCH,clutch,"('clutch', 'cltch')",business
1206,CLVRY,CLVRY,clvry,"('clvry', 'clvry')",business
1207,CMBSTN,COMBSTN,cmbstn,"('cmbstn', 'combstn')",business
1208,CMDR,CMDR,cmdr,"('cmdr', 'cmdr')",business
1209,CMFRT,CMFRT,cmfrt,"('cmfrt', 'cmfrt')",business
1210,CMFT,CMFRT,cmft,"('cmft', 'cmfrt')",business
1211,CMMN,CMMN,cmmn,"('cmmn', 'cmmn')",business
1212,CMMNTY,CMNTY,cmmnty,"('cmmnty', 'cmnty')",business
1213,CMMRC,COMMRCE,cmmrc,"('cmmrc', 'commrce')",business
1214,CMMTE,CMMTE,cmmte,"('cmmte', 'cmmte')",business
1215,CMND,CMND,cmnd,"('cmnd', 'cmnd')",business
1216,CMNTY,CMNTY,cmnty,"('cmnty', 'cmnty')",business
1217,CMNWLTH,CMNWLTH,cmnwlth,"('cmnwlth', 'cmnwlth')",business
1218,CMP,CMPTR,cmp,"('cmp', 'cmptr')",business
1219,CMPGN,CMPGN,cmpgn,"('cmpgn', 'cmpgn')",business
1220,CMPGRND,CMPGRND,cmpgrnd,"('cmpgrnd', 'cmpgrnd')",business
1221,CMPLT,CMPLT,cmplt,"('cmplt', 'cmplt')",business
1222,CMPNG,CMPNG,cmpng,"('cmpng', 'cmpng')",business
1223,CMPNSTN,CMPNSTN,cmpnstn,"('cmpnstn', 'cmpnstn')",business
1224,CMPR,CMPR,cmpr,"('cmpr', 'cmpr')",business
1225,CMPRHNSV,CMPRHNSV,cmprhnsv,"('cmprhnsv', 'cmprhnsv')",business
1226,CMPS,CMPS,cmps,"('cmps', 'cmps')",business
1227,CMPSR,CMPSR,cmpsr,"('cmpsr', 'cmpsr')",business
1228,CMPST,CMPST,cmpst,"('cmpst', 'cmpst')",business
1229,CMPTG,CMPTG,cmptg,"('cmptg', 'cmptg')",business
1230,CMPTR,CMPTR,cmptr,"('cmptr', 'cmptr')",business
1231,CMPTRLR,COMPTLR,cmptrlr,"('cmptrlr', 'comptlr')",business
1232,CMPUS,CMPS,cmpus,"('cmpus', 'cmps')",business
1233,CMRCL,COMRCL,cmrcl,"('cmrcl', 'comrcl')",business
1234,CMTY,CMNTY,cmty,"('cmty', 'cmnty')",business
1235,CNCL,CNCL,cncl,"('cncl', 'cncl')",business
1236,CNCLNG,CNCLNG,cnclng,"('cnclng', 'cnclng')",business
1237,CNCPT,CNCPT,cncpt,"('cncpt', 'cncpt')",business
1238,CNDLLGHT,CNDLLGHT,cndllght,"('cndllght', 'cndllght')",business
1239,CNDMNM,CONDO,cndmnm,"('cndmnm', 'condo')",business
1240,CNDN,CNDN,cndn,"('cndn', 'cndn')",business
1241,CNDNTNG,COND,cndntng,"('cndntng', 'cond')",business
1242,CNDY,CNDY,cndy,"('cndy', 'cndy')",business
1243,CNFR,CNFR,cnfr,"('cnfr', 'cnfr')",business
1244,CNFRNC,CNFRNC,cnfrnc,"('cnfrnc', 'cnfrnc')",business
1245,CNGRS,CNGRS,cngrs,"('cngrs', 'cngrs')",business
1246,CNGRSNL,CNGRSNL,cngrsnl,"('cngrsnl', 'cngrsnl')",business
1247,CNL,CNL,cnl,"('cnl', 'cnl')",business
1248,CNNNG,CNNNG,cnnng,"('cnnng', 'cnnng')",business
1249,CNSL,CNSL,cnsl,"('cnsl', 'cnsl')",business
1250,CNSLD,CONS,cnsld,"('cnsld', 'cons')",business
1251,CNSLDTD,CONS,cnsldtd,"('cnsldtd', 'cons')",business
1252,CNSLLR,CNSLLR,cnsllr,"('cnsllr', 'cnsllr')",business
1253,CNSLNG,CNSLNG,cnslng,"('cnslng', 'cnslng')",business
1254,CNSLR,CNSLR,cnslr | cnslr,"('cnslr | cnslr', 'cnslr')",business
1255,CNSLT,CONSLNT,cnslt,"('cnslt', 'conslnt')",business
1256,CNSLTN,CNSLTN,cnsltn,"('cnsltn', 'cnsltn')",business
1257,CNSLTNG,CONSLTNG,cnsltng,"('cnsltng', 'consltng')",business
1258,CNSLTNT,CONSLNT,cnsltnt,"('cnsltnt', 'conslnt')",business
1259,CNSMR,CONSMR,cnsmr,"('cnsmr', 'consmr')",business
1260,CNSRTM,CNSRTM,cnsrtm,"('cnsrtm', 'cnsrtm')",business
1261,CNSRVTN,CONSERVE,cnsrvtn,"('cnsrvtn', 'conserve')",business
1262,CNST,CONSTRCTN,cnst,"('cnst', 'constrctn')",business
1263,CNSTCONSTRCTN,CONSTRCTN,cnstconstrctn,"('cnstconstrctn', 'constrctn')",business
1264,CNSTR,CONSTR,cnstr | cnstr,"('cnstr | cnstr', 'constr')",business
1265,CNSTRCTNG,CNSTRCTNG,cnstrctng,"('cnstrctng', 'cnstrctng')",business
1266,CNSVTN,CONSERVE,cnsvtn,"('cnsvtn', 'conserve')",business
1267,CNT,CNT,cnt,"('cnt', 'cnt')",business
1268,CNTL,CTRL,cntl,"('cntl', 'ctrl')",business
1269,CNTLR,CNTRLLR,cntlr,"('cntlr', 'cntrllr')",business
1270,CNTN,CNTN,cntn,"('cntn', 'cntn')",business
1271,CNTNMNT,CNTNMNT,cntnmnt,"('cntnmnt', 'cntnmnt')",business
1272,CNTNNL,CENT,cntnnl,"('cntnnl', 'cent')",business
1273,CNTNTL,CONTNTL,cntntl,"('cntntl', 'contntl')",business
1274,CNTR,CNTR,cntr | cntr | cntr | cntr | cntr,"('cntr | cntr | cntr | cntr | cntr', 'cntr')",business
1275,CNTRCT,CNTRCT,cntrct,"('cntrct', 'cntrct')",business
1276,CNTRCTNG,CNTRCTNG,cntrctng,"('cntrctng', 'cntrctng')",business
1277,CNTRCTR,CONTR,cntrctr,"('cntrctr', 'contr')",business
1278,CNTRL,CNTRLLR,cntrl | cntrl | cntrl,"('cntrl | cntrl | cntrl', 'cntrllr')",business
1279,CNTRLLR,CNTRLLR,cntrllr,"('cntrllr', 'cntrllr')",business
1280,CNTRLR,CNTRLLR,cntrlr,"('cntrlr', 'cntrllr')",business
1281,CNTRY,CNTRY,cntry,"('cntry', 'cntry')",business
1282,CNTRYSD,CNTRYSD,cntrysd,"('cntrysd', 'cntrysd')",business
1283,CNTST,CNTST,cntst,"('cntst', 'cntst')",business
1284,CNTY,CNTY,cnty,"('cnty', 'cnty')",business
1285,CNVNT,CNVNT,cnvnt,"('cnvnt', 'cnvnt')",business
1286,CNVNTN,CNVNTN,cnvntn,"('cnvntn', 'cnvntn')",business
1287,CNVRSN,CNVRSN,cnvrsn,"('cnvrsn', 'cnvrsn')",business
1288,CO,CNTY,co | co | co,"('co | co | co', 'cnty')",business
1289,COACH,CH,coach,"('coach', 'ch')",business
1290,COAST,CST,coast,"('coast', 'cst')",business
1291,COASTAL,CSTL,coastal,"('coastal', 'cstl')",business
1292,COATED,CTD,coated,"('coated', 'ctd')",business
1293,COATING,CTNG,coating,"('coating', 'ctng')",business
1294,COCKPIT,CCKPT,cockpit,"('cockpit', 'cckpt')",business
1295,COCOA,CCO,cocoa,"('cocoa', 'cco')",business
1296,COF,COF,cof,"('cof', 'cof')",business
1297,COFFEE,COF,coffee,"('coffee', 'cof')",business
1298,COIFF,COIFF,coiff,"('coiff', 'coiff')",business
1299,COIFFEUR,CFFR,coiffeur,"('coiffeur', 'cffr')",business
1300,COIFFEUSE,CFFS,coiffeuse,"('coiffeuse', 'cffs')",business
1301,COIFFURE,COIFF,coiffure,"('coiffure', 'coiff')",business
1302,COL,CNSL,col | col | col | col,"('col | col | col | col', 'cnsl')",business
1303,COLG,COLG,colg,"('colg', 'colg')",business
1304,COLGT,COLGT,colgt,"('colgt', 'colgt')",business
1305,COLL,COLG,coll | coll | coll | coll,"('coll | coll | coll | coll', 'colg')",business
1306,COLLABORATIVE,CLLBRTV,collaborative,"('collaborative', 'cllbrtv')",business
1307,COLLATERAL,CLLTRL,collateral,"('collateral', 'clltrl')",business
1308,COLLECT,COLLECT,collect,"('collect', 'collect')",business
1309,COLLECTABLE,CLLCTABL,collectable,"('collectable', 'cllctabl')",business
1310,COLLECTIBLE,CLLCTIBL,collectible,"('collectible', 'cllctibl')",business
1311,COLLECTION,COLLECT,collection,"('collection', 'collect')",business
