,prim_suff,usps_abbr,pattern,combined
148,ROUTE,RTE,( route ),"(' route ', 'rte')"
149,SHOAL,SHL,( shoal ),"(' shoal ', 'shl')"
150,SHOALS,SHLS,( shoals ),"(' shoals ', 'shls')"
151,SHORE,SHR,( shoar | shore ),"(' shoar | shore ', 'shr')"
152,SHORES,SHRS,( shoars | shores ),"(' shoars | shores ', 'shrs')"
153,SKYWAY,SKWY,( skyway ),"(' skyway ', 'skwy')"
154,SPRING,SPG,( spng | spring | sprng ),"(' spng | spring | sprng ', 'spg')"
155,SPRINGS,SPGS,( spngs | springs | sprngs ),"(' spngs | springs | sprngs ', 'spgs')"
156,SPURS,SPUR,( spurs ),"(' spurs ', 'spur')"
157,SQUARE,SQ,( sqr | sqre | squ | square ),"(' sqr | sqre | squ | square ', 'sq')"
158,SQUARES,SQS,( sqrs | squares ),"(' sqrs | squares ', 'sqs')"
159,STATION,STA,( station | statn | stn ),"(' station | statn | stn ', 'sta')"
160,STRAVENUE,STRA,( strav | straven | stravenue | stravn | strvn | strvnue ),"(' strav | straven | stravenue | stravn | strvn | strvnue ', 'stra')"
161,STREAM,STRM,( stream | streme ),"(' stream | streme ', 'strm')"
162,STREET,ST,( street | strt | str ),"(' street | strt | str ', 'st')"
163,STREETS,STS,( streets ),"(' streets ', 'sts')"
164,SUMMIT,SMT,( sumit | sumitt | summit ),"(' sumit | sumitt | summit ', 'smt')"
165,TERRACE,TER,( terr | terrace ),"(' terr | terrace ', 'ter')"
166,THROUGHWAY,TRWY,( throughway ),"(' throughway ', 'trwy')"
167,TRACE,TRCE,( trace | traces ),"(' trace | traces ', 'trce')"
168,TRACK,TRAK,( track | tracks | trk | trks ),"(' track | tracks | trk | trks ', 'trak')"
169,TRAFFICWAY,TRFY,( trafficway ),"(' trafficway ', 'trfy')"
170,TRAIL,TRL,( trail | trails | trls ),"(' trail | trails | trls ', 'trl')"
171,TRAILER,TRLR,( trailer | trlrs ),"(' trailer | trlrs ', 'trlr')"
172,TUNNEL,TUNL,( tunel | tunls | tunnel | tunnels | tunnl ),"(' tunel | tunls | tunnel | tunnels | tunnl ', 'tunl')"
173,TURNPIKE,TPKE,( trnpk | turnpike | turnpk ),"(' trnpk | turnpike | turnpk ', 'tpke')"
174,UNDERPASS,UPAS,( underpass ),"(' underpass ', 'upas')"
175,UNION,UN,( union ),"(' union ', 'un')"
176,UNIONS,UNS,( unions ),"(' unions ', 'uns')"
177,VALLEY,VLY,( valley | vally | vlly ),"(' valley | vally | vlly ', 'vly')"
178,VALLEYS,VLYS,( valleys ),"(' valleys ', 'vlys')"
179,VIADUCT,VIA,( vdct | viadct | viaduct ),"(' vdct | viadct | viaduct ', 'via')"
180,VIEW,VW,( view ),"(' view ', 'vw')"
181,VIEWS,VWS,( views ),"(' views ', 'vws')"
182,VILLAGE,VLG,( vill | villag | village | villg | villiage ),"(' vill | villag | village | villg | villiage ', 'vlg')"
183,VILLAGES,VLGS,( villages ),"(' villages ', 'vlgs')"
184,VILLE,VL,( ville ),"(' ville ', 'vl')"
185,VISTA,VIS,( vist | vista | vst | vsta ),"(' vist | vista | vst | vsta ', 'vis')"
186,WALKS,WALK,( walks ),"(' walks ', 'walk')"
187,WAY,WAY,( wy ),"(' wy ', 'way')"
188,WELL,WL,( well ),"(' well ', 'wl')"
189,WELLS,WLS,( wells ),"(' wells ', 'wls')"
