Address	Zip	Lat.	Long.
0	bennett rest, Manhattan, NY	None	40.790278	-73.959722
1	bennett rest, Manhattan, NY	None	40.7830603	-73.9712488
--	benson pl, Manhattan, NY	10013	40.716973	-74.002842
0	bernard h mendik corner, Manhattan, NY	None	40.790278	-73.959722
1	bernard h mendik corner, Manhattan, NY	None	40.7830603	-73.9712488
0	bernice singletary sq, Manhattan, NY	None	40.790278	-73.959722
1	bernice singletary sq, Manhattan, NY	None	40.7830603	-73.9712488
0	bernie wohl way, Manhattan, NY	None	40.790278	-73.959722
1	bernie wohl way, Manhattan, NY	None	40.7830603	-73.9712488
--	berry pl, Manhattan, NY	10035	40.7917646	-73.9201227
--	big apple corner, Manhattan, NY	10016	40.7451883	-73.9860323
--	bike path, Manhattan, NY	10032	40.8360764	-73.9493247
0	billie holiday pl, Manhattan, NY	None	40.790278	-73.959722
1	billie holiday pl, Manhattan, NY	None	40.7127837	-74.0059413
2	billie holiday pl, Manhattan, NY	None	40.7830603	-73.9712488
0	birmingham st, Manhattan, NY	None	40.790278	-73.959722
1	birmingham st, Manhattan, NY	None	40.7830603	-73.9712488
--	bishop ln, Manhattan, NY	07304	40.7178008	-74.0651956
0	bmtjmzbowery, Manhattan, NY	None	40.790278	-73.959722
1	bmtjmzbowery, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtjmzbroad st, Manhattan, NY	None	40.790278	-73.959722
1	bmtjmzbroad st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtjmzcanal st, Manhattan, NY	None	40.790278	-73.959722
1	bmtjmzcanal st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtjmzchambers st, Manhattan, NY	None	40.790278	-73.959722
1	bmtjmzchambers st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtjmzessex st, Manhattan, NY	None	40.790278	-73.959722
1	bmtjmzessex st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtjmzfulton st, Manhattan, NY	None	40.790278	-73.959722
1	bmtjmzfulton st, Manhattan, NY	None	40.7830603	-73.9712488
0	bmtl1 ave, Manhattan, NY	None	40.802479	-73.9586849
1	bmtl1 ave, Manhattan, NY	None	40.7212899	-73.9488901
2	bmtl1 ave, Manhattan, NY	11222	40.7378375	-73.9554203
3	bmtl1 ave, Manhattan, NY	07307	40.7428124	-74.0515645
4	bmtl1 ave, Manhattan, NY	07087	40.7567337	-74.0349984
5	bmtl1 ave, Manhattan, NY	10801	40.9188427	-73.7804972
6	bmtl1 ave, Manhattan, NY	07001	40.574897	-74.274853
7	bmtl1 ave, Manhattan, NY	10021	40.7744828	-73.9651302
8	bmtl1 ave, Manhattan, NY	10019	40.7632696	-73.9776493
9	bmtl1 ave, Manhattan, NY	10532	41.1059734	-73.790757
10	bmtl1 ave, Manhattan, NY	11704	40.718359	-73.344226
11	bmtl1 ave, Manhattan, NY	None	42.939138	-78.828154
12	bmtl1 ave, Manhattan, NY	None	40.965346	-73.8251734
13	bmtl1 ave, Manhattan, NY	None	41.0461216	-73.7970472
14	bmtl1 ave, Manhattan, NY	11762	40.676136	-73.450754
15	bmtl1 ave, Manhattan, NY	11590	40.7490359	-73.5949416
16	bmtl1 ave, Manhattan, NY	14020	43.0035979	-78.1740925
