,Unnamed: 0,boro,stname,numeric_ind,GFT,len_full_name,num_of_progens,progen_word_1,progen_gft_1,progen_b10sc_1,progen_word_2,progen_gft_2,progen_b10sc_2,clean_name
795,795,2, 167 STREET EB ROADBED          ,N,S,27,1,E, ,22667004010, , ,           ,167 street eb roadbed
796,796,2, 167 STREET WB ROADBED          ,N,S,27,1,E, ,22667003010, , ,           ,167 street wb roadbed
797,797,2, 168 STREET                     ,N,S,16,2,E, ,22670001010,W, ,27426001010,168 st
798,798,2, 169 STREET                     ,N,S,16,2,E, ,22673001010,W, ,27433001010,169 st
799,799,2, 170 ST EASTBOUND ROADBED       ,N,S,30,1,E, ,22676003020, , ,           ,170 st eastbound roadbed
800,800,2, 170 ST WESTBOUND ROADBED       ,N,S,30,1,E, ,22676002020, , ,           ,170 st westbound roadbed
801,801,2, 170 STREET                     ,N,S,16,2,E, ,22676001010,W, ,27436001010,170 st
802,802,2, 170 STREET EB ROADBED          ,N,S,27,1,E, ,22676003010, , ,           ,170 street eb roadbed
803,803,2, 170 STREET WB ROADBED          ,N,S,27,1,E, ,22676002010, , ,           ,170 street wb roadbed
804,804,2, 171 STREET                     ,N,S,16,2,E, ,22679001010,W, ,27437001010,171 st
805,805,2, 172 STREET                     ,N,S,16,2,E, ,22682001010,W, ,27438001010,172 st
806,806,2, 173 STREET                     ,N,S,16,1,E, ,22685001010, , ,           ,173 st
807,807,2, 174 ST BR EB ROADBED           ,N,S,26,1,E,B,22688005040, , ,           ,174 st br eb roadbed
808,808,2, 174 ST BR WB ROADBED           ,N,S,26,1,E,B,22688006040, , ,           ,174 st br wb roadbed
809,809,2, 174 ST BRIDGE                  ,N,S,19,1,E,B,22688004010, , ,           ,174 st bridge
810,810,2, 174 ST BRIDGE EB ROADBED       ,N,S,30,1,E,B,22688005020, , ,           ,174 st bridge eb roadbed
811,811,2, 174 ST BRIDGE WB ROADBED       ,N,S,30,1,E,B,22688006020, , ,           ,174 st bridge wb roadbed
812,812,2, 174 ST BRP SOUTHBOUND EN       ,N,S,30,1,E,Z,21104001090, , ,           ,174 st brp southbound en
813,813,2, 174 ST EASTBOUND ROADBED       ,N,S,30,1,E, ,22688003020, , ,           ,174 st eastbound roadbed
814,814,2, 174 ST SB ENTRANCE BRP         ,N,S,28,1,E,Z,21104001140, , ,           ,174 st sb entrance brp
815,815,2, 174 ST WESTBOUND ROADBED       ,N,S,30,1,E, ,22688002020, , ,           ,174 st westbound roadbed
816,816,2, 174 STREET                     ,N,S,16,2,E, ,22688001010,W, ,27440001010,174 st
817,817,2, 174 STREET BR EB ROADBED       ,N,S,30,1,E,B,22688005030, , ,           ,174 street br eb roadbed
